text,type,typeId,Default Text,Description
Trang Chủ,Idea,creately.mindmap.idea,false,
Trang đăng ký,Thin Topic,creately.mindmap.thintopic,,
"Trang hỗ trợ, kết nối",Thin Topic,creately.mindmap.thintopic,,
Thông tin liên lạc,Thin Topic,creately.mindmap.thintopic,,
Form góp ý,Thin Topic,creately.mindmap.thintopic,,
Trang sản phẩm,Thin Topic,creately.mindmap.thintopic,,
Chi tiết sản phẩm,Thin Topic,creately.mindmap.thintopic,,
Thêm vào giỏ hàng,Thin Topic,creately.mindmap.thintopic,,
Trang bài viết,Thin Topic,creately.mindmap.thintopic,,
Chi tiết bài viết,Thin Topic,creately.mindmap.thintopic,,
Mật khẩu,Thin Topic,creately.mindmap.thintopic,,
Thông tin User,Thin Topic,creately.mindmap.thintopic,,
View Sản phẩm,Thin Topic,creately.mindmap.thintopic,,
"Bình luận sản phẩm/ 
Thông số sản phẩm",Thin Topic,creately.mindmap.thintopic,,
Trang đăng nhập,Thin Topic,creately.mindmap.thintopic,,
Trang giỏ hàng,Thin Topic,creately.mindmap.thintopic,,
Chi tiết giỏ hàng,Thin Topic,creately.mindmap.thintopic,,
Trang thanh toán,Thin Topic,creately.mindmap.thintopic,,
Địa điểm Google Map,Thin Topic,creately.mindmap.thintopic,,
Trang Admin,Thin Topic,creately.mindmap.thintopic,,
User đăng nhập,Thin Topic,creately.mindmap.thintopic,,
